crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6
1,0,0.3061862178,-0.1424210659,0.4668450215,-0.0137192778,-0.1424210659,-0.0331549785,0.3398341128,-0.1424210659,-0.0331549785,-0.3672726684,0.3575789341,-0.0331549785,-0.0137192778,4,4,0,0,4,4
2,1,0.2676165673,0.226948807,-0.2350603412,0.287370729,0.3814573033,-0.0805518431,-0.20122804,-0.4275596911,0.4194481551,0.0688627168,-0.273051193,-0.0440773355,0.2873707303,2,2,2,1,1,1
3,1,0.2674234614,-0.327192223,-0.0809194357,-0.3546170299,-0.327192223,0.4190807104,-0.1353417665,-0.0771924421,0.0140296116,0.1085740957,0.4228075579,-0.1758683369,0.1085738891,0,2,2,2,2,2
4,2,0.2670328166,-0.0954623857,-0.1798802301,-0.0579781624,0.3949279181,0.0768344859,-0.1387663336,-0.1901085286,0.0768389595,0.4006758095,0.0482119112,-0.01034795,-0.5436144491,0,2,2,2,1,1
5,2,0.2665391661,0.1340557753,0.3063475122,-0.1403692329,0.1340592469,-0.0184240888,0.5073588345,-0.2455472634,0.0107186882,0.0892814289,-0.0235151867,0.4639184743,0.3438985568,2,2,2,0,1,1
6,2,0.2654084014,-0.0641376907,-0.2643443529,0.3199468824,0.4805212319,-0.0530145296,0.1474048698,-0.0497923018,0.082835748,-0.1082229449,0.3138566822,0.4469854704,0.084243125,1,0,2,0,2,0
7,2,0.2642304182,-0.1348928468,-0.4249749166,0.1621255902,-0.1348928468,-0.0938311209,-0.5174414414,-0.2521906424,0.0749251116,0.037177423,0.2013332463,-0.0672230183,0.3580371736,2,2,1,1,1,1
8,3,0.2635632321,-0.3368761905,-0.4294477016,-0.1174746701,0.1631238095,0.4047096401,-0.0985399394,0.3296097755,-0.0664514455,0.0692455303,-0.1703902245,0.041713384,-0.2852601398,2,1,1,1,1,1
9,1,0.2633950203,-0.1208308115,-0.0764686579,-0.145329329,-0.2320769402,0.1847820176,0.2983824359,-0.0095846869,-0.3377193496,0.2983824274,0.3791691843,0.4235313259,0.0349874111,2,2,1,1,2,2
10,3,0.2631883075,0.0502219863,-0.130060876,0.5162993955,0.2956581211,-0.1702305254,-0.2698942074,-0.0894594537,-0.3318026453,0.0506152808,0.291362132,0.3006684175,0.2623258878,0,2,1,2,1,1
11,2,0.2592936355,0.041599073,-0.3153633338,-0.2711157182,-0.2085617731,-0.3108315409,0.1975941845,0.2914382269,-0.1778874416,0.1621170923,0.0416098348,0.250225028,0.3147629081,0,2,2,2,1,1
12,2,0.2588190451,0.4636881774,-0.0118999995,-0.1943660438,-0.0363118232,0.4880999998,-0.004897353,0.0118004163,0.1724018592,-0.4561491053,0.280675469,0.171112696,0.2539216922,1,0,2,0,2,0
13,2,0.2584972358,0.2882610551,0.1363677045,0.259319345,0.1293725449,-0.3890107218,0.1290221209,0.2862404784,-0.045877774,-0.2245306465,-0.3960056299,0.4521002928,-0.0012736139,1,1,2,2,1,1
14,3,0.255726018,0.20470379,-0.0283774586,0.5249116263,-0.2354429838,-0.2829644307,0.2997020203,-0.3430682077,0.2170355693,0.2997020208,-0.2892556215,-0.0329644765,-0.4074046044,0,0,0,2,1,1
15,1,0.2552762305,-0.4969237888,-0.2486860171,-0.0143330438,-0.4969237029,0.2513139829,-0.1175987953,0.0030762971,0.2922822763,-0.2125158329,0.0030762112,-0.2896543088,0.0805839937,2,1,2,2,1,1
16,1,0.2551125915,0.4020078325,0.0472037631,0.281741205,-0.0979890266,0.0704986215,0.3806867856,-0.2760874237,0.2252990194,-0.0718121856,-0.1212870259,0.0472006222,-0.5243111568,2,2,2,1,1,1
17,2,0.2548264355,-0.3446474945,0.3279723425,0.1989942157,0.1553525056,-0.1720276584,0.0015500576,0.1553525055,0.3279723416,0.1002721366,-0.3446474944,-0.1720276575,0.1002721367,1,2,2,2,2,0
18,3,0.254823069,-0.4721778584,-0.1312713289,-0.0330013489,-0.0127096875,-0.0907412155,-0.3865537703,0.1674474263,0.2291024577,-0.0330009362,-0.1523349568,0.0488850133,0.3205525764,0,1,2,2,1,2
19,2,0.2508872164,-0.1444997741,0.3056628054,-0.0614447616,-0.0607717759,-0.3202254548,-0.3851847959,0.2103088856,-0.049144743,-0.0614439983,-0.4155804356,0.0345820936,-0.3851855592,1,1,2,2,1,1
20,3,0.2507505384,-0.1624904391,-0.0308197059,0.543542322,-0.1624906803,-0.0308198488,-0.3394319309,0.301643346,-0.0308198488,0.3529452123,0.3016433469,-0.0308197059,-0.1488354156,0,1,2,2,1,1
21,2,0.25,-0.0529683588,0.2035535489,-0.2746464957,-0.3029683764,0.4535535418,0.0789068875,0.2723884194,-0.3630520747,-0.1944756952,0.2773477451,0.1994210043,0.3113990279,2,0,0,0,0,0
22,3,0.25,0.2430768403,0.1159272549,0.1456149244,-0.2966932585,0.3520458282,-0.0003178268,-0.0466932482,-0.3979541719,0.3532355566,-0.2966932465,-0.1479541718,-0.0003178351,0,0,0,2,2,2
23,4,0.25,0.0260324877,0.0843321353,0.1708519083,-0.1372387534,-0.007235743,-0.5909539546,0.1127612466,-0.257235743,-0.237400564,-0.2239675123,0.3343321353,-0.1827014823,0,0,2,2,0,0
24,4,0.25,-0.0208411922,-0.4888510964,0.3359969748,0.1035070014,0.1354262909,-0.0175564766,-0.3964925364,-0.3645733074,-0.0175563949,0.3535072085,-0.1145734744,0.3359969334,0,0,0,0,2,2
25,3,0.25,-0.0809397587,-0.245165207,0.0985443977,-0.0809398148,0.254834793,0.0985443581,-0.3309398705,0.004834793,0.4520977093,0.1690601046,0.004834793,-0.2550090895,2,2,2,2,2,2
26,4,0.25,0.0471075646,0.0104993287,0.5000086353,0.0471073523,0.0104997532,-0.2070977166,-0.4528926477,0.0104993287,-0.2070984335,-0.2028929424,-0.2395003618,0.1464553843,0,2,2,2,2,2
27,5,0.25,-0.2313870627,0.1507554884,-0.4238397464,0.0186129306,0.400755495,-0.0702863558,-0.4813870692,-0.0992445053,-0.0702863559,-0.2313870634,0.1507554889,0.2832670348,2,2,0,0,2,2
28,5,0.2416118766,0.0306590475,-0.0605444685,0.2474861367,-0.4693409075,-0.0605439203,0.2474853561,-0.4693410079,-0.4856732273,0.017767555,0.0306589438,-0.1354154336,-0.229902106,0,1,1,1,1,1
29,4,0.2177102723,0.4164599625,0.1896731248,0.1992617919,-0.3321501107,-0.2457472701,-0.1562577927,-0.3321498205,0.1896732746,-0.15625756,0.4164599272,-0.2457474199,0.1992617394,1,1,1,1,1,1
30,4,0.2071067812,0.1044683299,-0.2161305017,-0.024042572,0.3973615502,0.490976281,-0.024042569,-0.1026384459,-0.0090237192,0.2688506498,0.1044683336,-0.2161305021,-0.4382561344,1,1,1,1,1,1
31,4,0.2054636038,0.1956108436,0.1912729641,0.0975862913,0.4861800338,-0.0992966758,0.0975861695,-0.3043892998,-0.0992963267,-0.2559671729,-0.0138191995,0.191272403,-0.2559674203,1,1,1,1,1,1
32,4,0.1830127019,-0.2860802075,0.0792696411,0.2279498103,-0.1030675057,-0.3150679262,-0.3297277256,0.0799451962,0.0792696411,0.2279498102,-0.1030675057,-0.1037430608,-0.0308692348,1,1,1,1,1,1
33,4,0.1666666667,-0.2896192119,0.0605879279,0.1464129573,0.3992747815,0.2167103883,0.0297698777,-0.4340585562,0.0500437231,-0.2059323868,0.2326081104,0.3833770564,0.265472134,0,0,0,1,1,1
